Filter#,Replicate,Start Time,End Time,Volume (mL),Sample#,People,Notes,Date: 08/20/15
ME 15 0256,1,,,,1,Pancho,Windy,Location:
ME 15 0257,2,,,,,Ben,,Depth:
ME 15 0258,3,,,,,Katy,,
ME 15 0259,4,,,,,,,
ME 15 0260,1,,,,2,Ben,Windy,
ME 15 0261,2,,,,,Katy,,
ME 15 0262,3,,,,,,,
ME 15 0263,1,10:08,,400,3,Ben,Windy,
ME 15 0264,2,10:18,,400,,Michael,,
ME 15 0265,3,10:23,10:28,400,,,,
,,,,,,,,
Filter #,Replicate,Start Time,End Time,Volume (mL),Sample #,People,Notes,Date: 08/20/15
ME 15 0266,1,12:08,12:11,375,4,Josh,Pulled out a little east. Aligned with Science Hall,Location: University Bay
ME 15 0267,2,12:16,12:20,375,,Michael,,Depth: 0.5m
ME 15 0268,3,12:24,12:27,375,,,,
ME 15 0269,4,,,,,,,
ME 15 0270,1,2:10 PM,2:14 PM,400,5,Josh,,
ME 15 0271,2,2:18 PM,2:22 PM,400,,Kylie,,
ME 15 0272,3,2:26 PM,2:32 PM,400,,Shaomei,,
ME 15 0273,1,4:08 PM,4:12 PM,400,6,Josh,The pump battery is dying so the filtering took longer for samples 2 and 3. Wind died down a bit,
ME 15 0274,2,4:15 PM,4:21 PM,400,,Kylie,,
ME 15 0275,3,4:24 PM,4:21 PM,400,,Shaomei,,
,,,,,,,,
Filter #,Replicate,Start Time,End Time,Volume (mL),Sample #,People,Notes,Date: 08/20/15
ME 15 0276,1,6:09,6:12,310,7,Sam,,Location:
ME 15 0277,2,6:21,6:25,300,,Josh,,Depth: 0.5m
ME 15 0278,3,6:31,6:35,300,,Sarah,,
ME 15 0279,4,-,-,-,,,,
ME 15 0280,1,8:04,8:09,320,8,Sam,Tubing popped off. 13 sec filtering paused and resumed (2nd one),
ME 15 0281,2,8:15,8:19,310,,Josh,,
ME 15 0282,3,8:23,8:29,310,,,,
ME 15 0283,1,10:06,10:08,200,9,Sam,"Bubbles observed in intake hose on sample 3, hose was completely submerged",
ME 15 0284,2,10:13,10:16,200,,Alex,,
ME 15 0285,3,10:19,10:21,200,,,,
,,,,,,,,
Filter #,Replicate,Start Time,End Time,Volume (mL),Sample #,People,Notes,Date: 08/20/15-8/21/15
ME 15 0286,1,12:08,12:14,330,10,Pancho,ME 15 0286--> ME 15 0288 (OK- fixed with sharpie)No drifting; 4th sample for DNA,Location:
ME 15 0287,2,12:21,12:26,310,,Alex,,Depth: 0-0.5m
ME 15 0288,3,12:28,12:33,290,,,ME 15 0288--> ME 15 0286 (OK),
ME 15 0289,4,12:40,12:45,280,,,,
ME 15 0290,1,2:08,2:13,350,11,Pancho,,
ME 15 0291,2,2:19,2:24,230,,Pame,,
ME 15 0292,3,2:28,2:33,250,,,,
ME 15 0293,1,4:08,4:13,300,12,Pancho,Cheese cloth was changed for a new one before the second sample,
ME 15 0294,2,4:18,4:20,400,,Pame,,
ME 15 0295,3,4:23,4:27,400,,,,
ME 15 0296,1,6:08,6:13,370,13,Pancho,,
ME 15 0297,2,6:18,6:20,400,,Pame,,
ME 15 0298,3,6:24,6:26,400,,,,
